Ordem	Plot	Epoca 	plot_name	Acession_name	bloco	plant_number	Qinz1	Qinz2	Qinz3	Qinz4	Qinz5	Qinz6	Qinz7	Qinz8	Qinz9	Qinz10	Qinz11	Qinz12	Qinz13	Qinz14	Qinz15	Qinz16	Qinz17	Qinz18	Qinz19	NM	NP
35	7	1	BGM-1760.1.1.5	BGM-1760	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	0.473684211	66
36	8	1	BGM-0598.1.1.1	BGM-0598	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.105263158	12
37	8	1	BGM-0598.1.1.2	BGM-0598	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	8	1	BGM-0598.1.1.3	BGM-0598	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	8	1	BGM-0598.1.1.4	BGM-0598	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	8	1	BGM-0598.1.1.5	BGM-0598	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	9	1	BGM-0630.1.1.1	BGM-0630	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	9	1	BGM-0630.1.1.2	BGM-0630	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	9	1	BGM-0630.1.1.3	BGM-0630	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	9	1	BGM-0630.1.1.4	BGM-0630	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0.315789474	48
45	9	1	BGM-0630.1.1.5	BGM-0630	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	10	1	BGM-0593.1.1.4	BGM-0593	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	10	1	BGM-0593.1.1.5	BGM-0593	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	10	1	BGM-0593.1.1.1	BGM-0593	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	10	1	BGM-0593.1.1.2	BGM-0593	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	10	1	BGM-0593.1.1.3	BGM-0593	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	11	1	BRS-Caipira.1.1.4	BRS-Caipira	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.052631579	14
51	11	1	BRS-Caipira.1.1.1	BRS-Caipira	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	11	1	BRS-Caipira.1.1.2	BRS-Caipira	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	11	1	BRS-Caipira.1.1.3	BRS-Caipira	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	11	1	BRS-Caipira.1.1.5	BRS-Caipira	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	12	1	BGM-0945.1.1.5	BGM-0945	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052631579	32
56	12	1	BGM-0945.1.1.1	BGM-0945	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	12	1	BGM-0945.1.1.2	BGM-0945	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0.157894737	30
58	12	1	BGM-0945.1.1.3	BGM-0945	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.052631579	14
59	12	1	BGM-0945.1.1.4	BGM-0945	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	13	1	BGM-1128.1.1.3	BGM-1128	1	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	3	0.473684211	84
65	13	1	BGM-1128.1.1.5	BGM-1128	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052631579	32
62	13	1	BGM-1128.1.1.2	BGM-1128	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0.157894737	34
64	13	1	BGM-1128.1.1.4	BGM-1128	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0.210526316	40
61	13	1	BGM-1128.1.1.1	BGM-1128	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.105263158	54
70	14	1	BRS-PotiBranca.1.1.5	BRS-PotiBranca	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	14	1	BRS-PotiBranca.1.1.1	BRS-PotiBranca	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	14	1	BRS-PotiBranca.1.1.2	BRS-PotiBranca	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	14	1	BRS-PotiBranca.1.1.3	BRS-PotiBranca	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	14	1	BRS-PotiBranca.1.1.4	BRS-PotiBranca	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	15	1	Salangor.1.1.2	Salangor	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	15	1	Salangor.1.1.1	Salangor	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	15	1	Salangor.1.1.3	Salangor	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	15	1	Salangor.1.1.4	Salangor	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	15	1	Salangor.1.1.5	Salangor	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	16	1	BRS-Mulatinha.1.1.2	BRS-Mulatinha	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	16	1	BRS-Mulatinha.1.1.1	BRS-Mulatinha	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	16	1	BRS-Mulatinha.1.1.3	BRS-Mulatinha	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	16	1	BRS-Mulatinha.1.1.4	BRS-Mulatinha	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	16	1	BRS-Mulatinha.1.1.5	BRS-Mulatinha	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	17	1	BRSCS-01.1.1.2	BRSCS-01	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
83	17	1	BRSCS-01.1.1.3	BRSCS-01	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
81	17	1	BRSCS-01.1.1.1	BRSCS-01	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
84	17	1	BRSCS-01.1.1.4	BRSCS-01	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
85	17	1	BRSCS-01.1.1.5	BRSCS-01	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
90	18	1	Eucalipto.1.1.5	Eucalipto	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	18	1	Eucalipto.1.1.1	Eucalipto	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	18	1	Eucalipto.1.1.3	Eucalipto	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	18	1	Eucalipto.1.1.2	Eucalipto	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	18	1	Eucalipto.1.1.4	Eucalipto	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	19	1	BRS-Kiriris.1.1.5	BRS-Kiriris	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	19	1	BRS-Kiriris.1.1.3	BRS-Kiriris	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	19	1	BRS-Kiriris.1.1.1	BRS-Kiriris	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	19	1	BRS-Kiriris.1.1.2	BRS-Kiriris	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	19	1	BRS-Kiriris.1.1.4	BRS-Kiriris	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0.315789474	48
96	20	1	BRS-Dourada.1.1.1	BRS-Dourada	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0.263157895	18
97	20	1	BRS-Dourada.1.1.2	BRS-Dourada	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
98	20	1	BRS-Dourada.1.1.3	BRS-Dourada	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0.210526316	12
99	20	1	BRS-Dourada.1.1.4	BRS-Dourada	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.105263158	12
100	20	1	BRS-Dourada.1.1.5	BRS-Dourada	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	21	1	BRS-Formosa.1.1.1	BRS-Formosa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	21	1	BRS-Formosa.1.1.5	BRS-Formosa	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	21	1	BRS-Formosa.1.1.2	BRS-Formosa	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	21	1	BRS-Formosa.1.1.3	BRS-Formosa	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	21	1	BRS-Formosa.1.1.4	BRS-Formosa	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	22	1	BRS-GemadeOvo.1.1.5	BRS-GemadeOvo	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.105263158	10
107	22	1	BRS-GemadeOvo.1.1.2	BRS-GemadeOvo	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0.157894737	22
106	22	1	BRS-GemadeOvo.1.1.1	BRS-GemadeOvo	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	22	1	BRS-GemadeOvo.1.1.3	BRS-GemadeOvo	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.157894737	12
109	22	1	BRS-GemadeOvo.1.1.4	BRS-GemadeOvo	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.052631579	2
114	23	1	Correntao.1.1.4	Correntao	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	23	1	Correntao.1.1.1	Correntao	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	23	1	Correntao.1.1.2	Correntao	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	23	1	Correntao.1.1.3	Correntao	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	23	1	Correntao.1.1.5	Correntao	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	24	1	BRS-Verdinha.1.1.4	BRS-Verdinha	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	24	1	BRS-Verdinha.1.1.2	BRS-Verdinha	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	24	1	BRS-Verdinha.1.1.1	BRS-Verdinha	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	24	1	BRS-Verdinha.1.1.3	BRS-Verdinha	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	24	1	BRS-Verdinha.1.1.5	BRS-Verdinha	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	25	1	BRS-NovoHorizonte.1.1.1	BRS-NovoHorizonte	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	25	1	BRS-NovoHorizonte.1.1.5	BRS-NovoHorizonte	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	25	1	BRS-NovoHorizonte.1.1.2	BRS-NovoHorizonte	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	25	1	BRS-NovoHorizonte.1.1.4	BRS-NovoHorizonte	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	25	1	BRS-NovoHorizonte.1.1.3	BRS-NovoHorizonte	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	26	1	Corrente.1.1.3	Corrente	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
130	26	1	Corrente.1.1.5	Corrente	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	26	1	Corrente.1.1.1	Corrente	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
129	26	1	Corrente.1.1.4	Corrente	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0.157894737	18
127	26	1	Corrente.1.1.2	Corrente	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	27	1	VassouraPreta.1.1.2	VassouraPreta	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	27	1	VassouraPreta.1.1.1	VassouraPreta	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	27	1	VassouraPreta.1.1.5	VassouraPreta	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	27	1	VassouraPreta.1.1.4	VassouraPreta	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	27	1	VassouraPreta.1.1.3	VassouraPreta	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	28	1	NegaMaluca.1.1.1	NegaMaluca	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	28	1	NegaMaluca.1.1.2	NegaMaluca	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
138	28	1	NegaMaluca.1.1.3	NegaMaluca	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	28	1	NegaMaluca.1.1.4	NegaMaluca	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	28	1	NegaMaluca.1.1.5	NegaMaluca	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	29	1	BRS-Tapioqueira.1.1.5	BRS-Tapioqueira	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	29	1	BRS-Tapioqueira.1.1.1	BRS-Tapioqueira	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0.105263158	16
142	29	1	BRS-Tapioqueira.1.1.2	BRS-Tapioqueira	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	29	1	BRS-Tapioqueira.1.1.3	BRS-Tapioqueira	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0.263157895	22
144	29	1	BRS-Tapioqueira.1.1.4	BRS-Tapioqueira	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0.315789474	34
150	30	1	BGM-1722.1.1.5	BGM-1722	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	30	1	BGM-1722.1.1.2	BGM-1722	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.157894737	12
146	30	1	BGM-1722.1.1.1	BGM-1722	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.157894737	12
148	30	1	BGM-1722.1.1.3	BGM-1722	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0.263157895	38
149	30	1	BGM-1722.1.1.4	BGM-1722	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	31	1	Cigana.1.1.4	Cigana	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	31	1	Cigana.1.1.5	Cigana	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	31	1	Cigana.1.1.1	Cigana	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	31	1	Cigana.1.1.2	Cigana	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	31	1	Cigana.1.1.3	Cigana	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	32	1	BGM-0935.1.1.1	BGM-0935	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0.368421053	116
157	32	1	BGM-0935.1.1.2	BGM-0935	1	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0.368421053	88
158	32	1	BGM-0935.1.1.3	BGM-0935	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	32	1	BGM-0935.1.1.4	BGM-0935	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.052631579	18
160	32	1	BGM-0935.1.1.5	BGM-0935	1	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0.315789474	78
165	33	1	BGM-1118.1.1.5	BGM-1118	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	33	1	BGM-1118.1.1.1	BGM-1118	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.052631579	20
162	33	1	BGM-1118.1.1.2	BGM-1118	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.105263158	36
163	33	1	BGM-1118.1.1.3	BGM-1118	1	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0.157894737	48
164	33	1	BGM-1118.1.1.4	BGM-1118	1	4	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0.368421053	106
169	37	1	BGM-0195.1.1.4	BGM-0195	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.052631579	2
168	37	1	BGM-0195.1.1.3	BGM-0195	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	37	1	BGM-0195.1.1.5	BGM-0195	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
167	37	1	BGM-0195.1.1.2	BGM-0195	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052631579	6
166	37	1	BGM-0195.1.1.1	BGM-0195	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	41	1	BGM-1118.1.2.2	BGM-1118	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.105263158	20
171	41	1	BGM-1118.1.2.1	BGM-1118	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0.315789474	58
173	41	1	BGM-1118.1.2.3	BGM-1118	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	41	1	BGM-1118.1.2.4	BGM-1118	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0.210526316	40
175	41	1	BGM-1118.1.2.5	BGM-1118	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	42	1	BGM-0062.1.2.3	BGM-0062	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	3	0.421052632	68
176	42	1	BGM-0062.1.2.1	BGM-0062	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0.315789474	32
177	42	1	BGM-0062.1.2.2	BGM-0062	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0.210526316	22
179	42	1	BGM-0062.1.2.4	BGM-0062	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0.263157895	22
180	42	1	BGM-0062.1.2.5	BGM-0062	2	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0.315789474	40
181	43	1	BGM-0707.1.2.1	BGM-0707	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0.105263158	16
